編號	生活群集	議題標題	切入形式	國際技術錨點	間接帶入點	建議平台	層級
C04-14	C04 校園與補教	校車路線最佳化，其實是個數學問題	市場調查	GNSS 車輛追蹤	接送排程的效率空間	技術部落格	L1
C04-15	C04 校園與補教	國外校園怎麼做上下車考勤	市場調查	BLE 車載閘道器	國際做法對照	產業媒體	L2
C04-16	C04 校園與補教	老師最想要的科技工具是什麼（問卷）	問卷調查	—	需求挖掘型互動	FB 社團	L0
C04-17	C04 校園與補教	一支手機就能當接收器，校園適用嗎	跨界類比	群眾網路｜員工手機接收	零硬體成本方案的可行性	技術部落格	L2
C05-01	C05 運動健身與路跑	馬拉松晶片計時，用的是什麼技術	冷知識	RFID 計時毯｜UWB	大型賽事的通過點偵測	Threads	L1
C05-02	C05 運動健身與路跑	職業球隊的球員追蹤，精度到什麼程度	市場調查	Kinexon｜Catapult｜STATSports	國際頂級 RTLS 的實戰應用	Mobile01／技術部落格	L2
C05-03	C05 運動健身與路跑	健身房的器材使用率，其實可以量	現象觀察	BLE 資產標籤	使用率分析的商業價值	產業媒體	L1
C05-04	C05 運動健身與路跑	跑者最常掉的裝備排行	市場調查	Tile｜Find My	高單價運動裝備的防丟需求	Threads	L0
C05-05	C05 運動健身與路跑	越野跑失聯，救援怎麼找人	現象觀察	GNSS｜衛星通訊	低密度區的定位極限	Threads	L1
C05-06	C05 運動健身與路跑	運動手錶的 GPS 到底準不準	問卷調查	GNSS 多頻	消費者最關心的精度問題	Mobile01	L2
C05-07	C05 運動健身與路跑	你會為了安全戴定位裝置嗎（跑者投票）	問卷調查	—	配戴意願的另一個族群驗證	Threads	L0
C05-08	C05 運動健身與路跑	泳池與海泳，定位為什麼更難	冷知識	射頻在水中的衰減	技術限制的誠實說明	Mobile01	L1
C05-09	C05 運動健身與路跑	銀髮運動班的安全管理	現象觀察	BLE 區域判讀	銀髮族群的活動場域安全	產業媒體	L2
C05-10	C05 運動健身與路跑	健身房置物櫃失竊的真實比例	市場調查	—	場域安全與資產保護	Threads	L0
C05-11	C05 運動健身與路跑	自行車失竊後，找回率有多低	市場調查	Find My｜GPS 追蹤器	高價資產的追回現實	Mobile01	L2
C05-12	C05 運動健身與路跑	電動輔助自行車，為什麼更容易被偷	現象觀察	GPS 追蹤器	高價品的防盜設計	Mobile01	L1
C05-13	C05 運動健身與路跑	運動賽事的人流動線，主辦方怎麼看	現象觀察	BLE｜Wi-Fi 定位	大型活動的動線管理	產業媒體	L1
C05-14	C05 運動健身與路跑	親子路跑，小孩跑丟了怎麼辦	個人發現	群眾網路	活動現場的協尋現實	Threads	L1
C05-15	C05 運動健身與路跑	穿戴裝置的續航焦慮，跨品類都一樣	跨界類比	Bluetooth 低功耗設計	續航是所有穿戴的共同天花板	Mobile01	L2
C05-16	C05 運動健身與路跑	鞋子裡的感測器，運動科學早就在做	跨界類比	智慧鞋墊／足壓感測	鞋內裝置的接受度早已被驗證	技術部落格	L2
C05-17	C05 運動健身與路跑	登山客的緊急求救，按得到嗎	現象觀察	SOS 按鈕設計	求救鍵的實際可用性	Threads	L1
C06-01	C06 登山露營與戶外	山難搜救，第一步永遠是縮小範圍	現象觀察	GNSS｜衛星求救器	最後偵測位置的核心價值就是縮範圍	Threads／Mobile01	L1
C06-02	C06 登山露營與戶外	離線地圖救了我一次	個人發現	GNSS 離線定位	斷網環境下的定位現實	Mobile01	L1
C06-03	C06 登山露營與戶外	登山入園證與實際入山人數的落差	市場調查	—	名冊與實況的落差，機構也一樣	Threads	L0
C06-04	C06 登山露營與戶外	露營區的小孩與長輩，誰在看著	現象觀察	群眾網路密度	低密度區的誠實限制	FB 社團	L1
C06-05	C06 登山露營與戶外	帳篷、睡袋、椅子：露營最常忘記帶走的東西	市場調查	Tile｜Find My	裝備清點的自動化想像	Threads	L0
C06-06	C06 登山露營與戶外	為什麼山上手機沒訊號，定位還能用	冷知識	GNSS 不需網路	衛星定位與網路回傳是兩件事	Mobile01	L1
C06-07	C06 登山露營與戶外	衛星通訊手機，改變了什麼	市場調查	衛星直連手機服務	極端環境的通訊演進	Mobile01	L1
C06-08	C06 登山露營與戶外	一個人的獨攀，風險在哪裡	社會現狀	單獨作業告警概念	久未移動告警的跨場域邏輯	Threads	L1
C06-09	C06 登山露營與戶外	搜救隊最想要的一項資訊是什麼	問卷調查	—	用專業視角定義需求	Threads	L0
C06-10	C06 登山露營與戶外	國家公園的巡查員，怎麼確保自身安全	現象觀察	BLE｜GNSS	戶外工作者的人員安全	產業媒體	L1
C06-11	C06 登山露營與戶外	潛水的水下定位，用的完全不是無線電	冷知識	聲學定位	不同介質需要不同技術	Mobile01	L1
C06-12	C06 登山露營與戶外	溯溪與野溪溫泉的意外分布	市場調查	—	風險場域的資料化	Threads	L0
C06-13	C06 登山露營與戶外	戶外裝備的二手轉賣，序號查得到嗎	現象觀察	序號與保固紀錄	資產識別的基礎	Mobile01	L1
C06-14	C06 登山露營與戶外	高山症發作的那一刻，同伴在多遠	個人發現	距離感知	Channel Sounding 的距離應用	Threads	L2
C06-15	C06 登山露營與戶外	林道車輛與人員的分離管理	跨界類比	車載接收器	移動接收器的另一種場景	技術部落格	L2
C06-16	C06 登山露營與戶外	帶失智長輩去戶外，是不是太冒險	社會現狀	電子圍籬｜群眾網路	從限制到擴權的敘事翻轉	Threads／FB	L1
C06-17	C06 登山露營與戶外	一年有多少人在步道上走失	市場調查	警消統計	數據建立議題重量	Threads	L0
C07-01	C07 旅遊住宿與行李	行李被丟包，你能追到哪一步	個人發現	Apple Find My 行李｜航空公司追蹤	跨國定位鏈的斷點	Mobile01／Threads	L2
C07-02	C07 旅遊住宿與行李	航空公司開始支援分享行李位置了	市場調查	Apple Find My Share Item Location	國際趨勢：定位資料的授權分享	Mobile01	L2
C07-03	C07 旅遊住宿與行李	飯店房卡的下一代會是什麼	現象觀察	UWB 數位鑰匙｜CCC	距離感知在門禁的應用	技術部落格	L2
C07-04	C07 旅遊住宿與行李	跟團旅遊，導遊怎麼確認人到齊	現象觀察	BLE 群體點名	團體移動的清點需求	產業媒體	L1
C07-05	C07 旅遊住宿與行李	銀髮旅遊團，最常發生的狀況是什麼	市場調查	—	銀髮旅遊的安全缺口	產業媒體	L1
C07-06	C07 旅遊住宿與行李	郵輪上走失，跟陸地上完全不同	跨界類比	船上定位系統	封閉場域的定位邏輯	Threads	L1
C07-07	C07 旅遊住宿與行李	民宿老闆最怕客人發生什麼事	問卷調查	—	小型住宿業的風險	FB 社團	L0
C07-08	C07 旅遊住宿與行李	溫泉區與大眾湯，長輩最容易出事的地方	現象觀察	防水等級｜久未移動	高風險場域的守護設計	Threads	L1
C07-09	C07 旅遊住宿與行李	自由行 vs 跟團，走失風險差多少	問卷調查	—	行為模式與風險	Threads	L0
C07-10	C07 旅遊住宿與行李	帶長輩出國，我準備了哪些東西	個人發現	Find My｜群眾網路	跨國情境的裝備清單	FB／部落格	L1
C07-11	C07 旅遊住宿與行李	國外的失智友善旅遊做到什麼程度	市場調查	荷蘭與日本做法	國際對照建立視野	部落格	L0
C07-12	C07 旅遊住宿與行李	飯店布巾與備品的流失成本	現象觀察	RFID 布巾管理	資產管理的冷門但真實需求	產業媒體	L1
C07-13	C07 旅遊住宿與行李	機場地勤的行李轉運，斷在哪一段	現象觀察	BLE｜RFID 行李標籤	移動段的資料斷點	產業媒體	L2
C07-14	C07 旅遊住宿與行李	租車還車時的糾紛，怎麼舉證	現象觀察	GNSS 軌跡紀錄	歷程留痕的價值	Threads	L1
C07-15	C07 旅遊住宿與行李	旅行箱裡放定位器，海關會有意見嗎	冷知識	鋰電池與航空安全	實務限制的誠實說明	Mobile01	L1
C07-16	C07 旅遊住宿與行李	包車司機與旅客的協調，最常卡在哪	現象觀察	即時位置共享	移動服務的資訊落差	Threads	L0
C07-17	C07 旅遊住宿與行李	旅遊平安險理賠，需要什麼證據	跨界類比	位置與時間紀錄	紀錄可追溯的商業價值	部落格	L1
C08-01	C08 餐飲外送與廚房	外送員的路線，平台看得多細	現象觀察	GNSS 即時追蹤	即時追蹤的成本與功耗代價	Threads	L1
C08-02	C08 餐飲外送與廚房	保溫袋裡的溫度，真的有人在看嗎	現象觀察	BLE 溫度標籤	溫度與位置同一條時間軸	Threads	L1
C08-03	C08 餐飲外送與廚房	中央廚房到門市的冷鏈，斷在哪	市場調查	BLE＋LoRaWAN 冷鏈方案	國際冷鏈架構對照	產業媒體	L2
C08-04	C08 餐飲外送與廚房	餐廳的餐具與餐盤一年少多少	市場調查	RFID｜BLE 標籤	周轉具流失的跨產業共通性	產業媒體	L1
C08-05	C08 餐飲外送與廚房	冰箱溫度紀錄表，還在手抄嗎	現象觀察	data logger	自動紀錄取代人工抄表	產業媒體	L1
C08-06	C08 餐飲外送與廚房	食安稽核最常被開的缺失	市場調查	溫度紀錄規範	合規壓力是最好的導入理由	產業媒體	L1
C08-07	C08 餐飲外送與廚房	開放式廚房，員工動線其實可以優化	現象觀察	BLE 區域熱區	動線分析的效率價值	產業媒體	L2
C08-08	C08 餐飲外送與廚房	夜市攤商的生財器具會不見嗎	現象觀察	BLE 標籤	微型商家的資產保護	Threads	L0
C08-09	C08 餐飲外送與廚房	外送員被留在大樓裡的那十分鐘	個人發現	室內定位	大樓內部的定位盲區	Threads	L1
C08-10	C08 餐飲外送與廚房	你點的餐，其實經過幾個溫層	冷知識	多溫層共配	冷鏈知識科普	Threads	L1
C08-11	C08 餐飲外送與廚房	團膳送到學校，溫度誰負責	社會現狀	冷鏈溫度舉證	責任歸屬與紀錄	產業媒體	L1
C08-12	C08 餐飲外送與廚房	廚餘回收車的路線，能不能更聰明	跨界類比	GNSS 車輛調度	派遣最佳化的跨產業應用	Threads	L0
C08-13	C08 餐飲外送與廚房	連鎖店的庫存盤點，多久做一次	市場調查	RFID 盤點	盤點工時的壓縮空間	產業媒體	L1
C08-14	C08 餐飲外送與廚房	高齡員工在廚房的安全	社會現狀	久未移動告警	銀髮就業的場域安全	產業媒體	L1
C08-15	C08 餐飲外送與廚房	外送保溫箱如果自己會回報溫度	跨界類比	BLE 溫度標籤	同一顆標籤的跨場域延伸	Threads	L2
C08-16	C08 餐飲外送與廚房	餐飲業離職率高，交接靠什麼	現象觀察	紀錄可追溯	交班空白的跨產業共通性	產業媒體	L1
C08-17	C08 餐飲外送與廚房	一杯手搖飲從製作到送達，幾分鐘	市場調查	時間戳記	時間軸資料的可視化	Threads	L0
C09-01	C09 零售賣場與百貨	賣場的推車一年跑掉幾台	市場調查	BLE 標籤｜電子圍籬	周轉具流失的零售版本	產業媒體	L1
C09-02	C09 零售賣場與百貨	高價商品的防盜，從磁扣到什麼	現象觀察	BLE 地理圍欄防損	國際零售防損趨勢	產業媒體	L2
C09-03	C09 零售賣場與百貨	百貨公司的動線設計，其實有數據	現象觀察	Wi-Fi／BLE 人流分析	人流資料的商業價值	產業媒體	L1
C09-04	C09 零售賣場與百貨	你在賣場平均走多遠	冷知識	室內定位軌跡	軌跡資料的日常趣味	Threads	L0
C09-05	C09 零售賣場與百貨	店員找貨的時間，佔工時多少	市場調查	BLE 資產定位	找東西的時間成本再現	產業媒體	L1
C09-06	C09 零售賣場與百貨	無人商店的下一步是什麼	現象觀察	UWB｜電腦視覺	技術路線的比較	技術部落格	L2
C09-07	C09 零售賣場與百貨	生鮮冷櫃的溫度，誰在半夜盯	現象觀察	溫度告警	夜間無人時段的監控	產業媒體	L1
C09-08	C09 零售賣場與百貨	賣場裡走失的長輩，通常在哪一區	現象觀察	區域判讀	場域內走失的熱點	Threads	L1
C09-09	C09 零售賣場與百貨	百貨的失物招領，一年收到多少東西	市場調查	—	遺失規模的具體化	Threads	L0
C09-10	C09 零售賣場與百貨	購物車裡的商品，能不能自己結帳	跨界類比	RFID 批次讀取	識別與定位的分工	技術部落格	L1
C09-11	C09 零售賣場與百貨	超市的店員呼叫鈴，為什麼常沒人來	現象觀察	人員區域定位	呼叫與派工的效率	產業媒體	L1
C09-12	C09 零售賣場與百貨	促銷檔期的人流尖峰，能預測嗎	市場調查	人流資料	資料驅動的營運	產業媒體	L1
C09-13	C09 零售賣場與百貨	銀髮友善賣場，國外怎麼做	市場調查	國際高齡友善零售	國際對照	部落格	L0
C09-14	C09 零售賣場與百貨	停車場找不到車，比你想的常見	現象觀察	BLE｜室內定位	停車場是定位需求最直覺的場景	Threads	L1
C09-15	C09 零售賣場與百貨	賣場的緊急疏散，人數怎麼確認	現象觀察	BLE 人員盤點	疏散盤點的跨場域需求	產業媒體	L2
C09-16	C09 零售賣場與百貨	櫃姐的一天要走多少步	現象觀察	軌跡與步數	人員動線的具象化	Threads	L0
C09-17	C09 零售賣場與百貨	如果貨架自己知道缺貨了	跨界類比	感測標籤	物聯網的零售想像	技術部落格	L1
C10-01	C10 傳統市場與攤商	菜市場的長輩，走失了往哪找	現象觀察	群眾網路密度	人多的地方回報快，這是誠實的前提	Threads／FB	L1
C10-02	C10 傳統市場與攤商	攤商的推車與冰桶，怎麼防丟	現象觀察	BLE 標籤	微型商家的資產需求	Threads	L0
C10-03	C10 傳統市場與攤商	市場的冷藏設備，溫度誰在管	現象觀察	溫度感測標籤	食安的基層現實	產業媒體	L1
C10-04	C10 傳統市場與攤商	早市與黃昏市場的人流差異	市場調查	人流資料	生活資料的趣味化	Threads	L0
C10-05	C10 傳統市場與攤商	攤位租金與人流的關係	市場調查	人流分析	資料如何改變定價	產業媒體	L1
C10-06	C10 傳統市場與攤商	市場裡的無障礙，做得如何	社會現狀	—	高齡友善的公共空間	Threads	L0
C10-07	C10 傳統市場與攤商	長輩每天去市場的固定路線	現象觀察	軌跡與習慣	習慣路線是走失判讀的基礎	FB 社團	L1
C10-08	C10 傳統市場與攤商	市場攤商是最好的守望網絡	現象觀察	社區協尋	人肉網路的力量	FB 社團	L0
C10-09	C10 傳統市場與攤商	你認識你家附近幾個攤商	問卷調查	—	社區連結的具體化	Threads	L0
C10-10	C10 傳統市場與攤商	夜市的走失廣播，還在用喇叭	社會現狀	區域判讀	協尋方式的世代落差	Threads	L0
C10-11	C10 傳統市場與攤商	攤商的行動支付普及了，那安全呢	現象觀察	—	數位化的不均衡	Threads	L0
C10-12	C10 傳統市場與攤商	市場火災的疏散，怎麼確認人	現象觀察	人員盤點	公共場域的安全	產業媒體	L1
C10-13	C10 傳統市場與攤商	生鮮從產地到攤位，經過幾手	市場調查	供應鏈追溯	溯源的消費者價值	Threads	L1
C10-14	C10 傳統市場與攤商	攤商的高齡化，比你想的嚴重	市場調查	—	銀髮就業與場域安全	Threads	L0
C10-15	C10 傳統市場與攤商	長輩在市場跌倒，多久會被發現	現象觀察	久未移動告警	公共空間的異常偵測	Threads	L1
C10-16	C10 傳統市場與攤商	市場改建後，長輩找不到原本的攤位	社會現狀	空間認知	環境改變與失智者的定向	Threads	L0
C10-17	C10 傳統市場與攤商	如果市場入口有個看不見的門檻	跨界類比	電子圍籬	圍籬概念的生活化比喻	Threads	L1
C11-01	C11 建築工地與職人	工地最常不見的工具排行	市場調查	BLE 資產標籤	工具流失的真實成本	產業媒體	L1
C11-02	C11 建築工地與職人	工地點名，現在還在用紙本嗎	現象觀察	BLE 智慧工牌	人員盤點的數位化	LinkedIn	L1
C11-03	C11 建築工地與職人	鷹架上的單獨作業，誰在看著	現象觀察	久未移動告警	高風險作業的安全網	產業媒體	L2
C11-04	C11 建築工地與職人	承攬商進場管理，最常出什麼包	現象觀察	門禁＋定位	承攬商是工安管理的破口	LinkedIn	L2
C11-05	C11 建築工地與職人	工地的求救按鈕，按得到嗎	問卷調查	SOS 設計	求救鍵的實際可用性	產業媒體	L1
C11-06	C11 建築工地與職人	鋼筋、模板、機具：哪一項最容易被偷	市場調查	GPS 追蹤器｜BLE	高價資產的防竊	產業媒體	L1
C11-07	C11 建築工地與職人	水電師傅一天要跑幾個工地	現象觀察	派工與軌跡	移動工作者的調度	Threads	L0
C11-08	C11 建築工地與職人	IP67 與 IK10 是什麼意思	冷知識	工業防護等級	戶外硬體的規格科普	技術部落格	L1
C11-09	C11 建築工地與職人	工地夜間的設備失竊率	市場調查	電子圍籬告警	夜間無人時段的防護	產業媒體	L1
C11-10	C11 建築工地與職人	高齡工人的比例，正在上升	社會現狀	—	勞動力高齡化與場域安全	Threads	L0
C11-11	C11 建築工地與職人	工程車隊的油耗與路線	現象觀察	GNSS 車輛管理	車隊管理的成本效益	產業媒體	L1
C11-12	C11 建築工地與職人	鐵皮屋與金屬結構，訊號會怎樣	冷知識	多路徑與屏蔽	金屬環境的技術誠實	技術部落格	L2
C11-13	C11 建築工地與職人	職災發生後，紀錄拿得出來嗎	社會現狀	歷程留痕	舉證責任與事後追溯	LinkedIn	L2
C11-14	C11 建築工地與職人	外籍移工的溝通與安全管理	社會現狀	多語告警	語言障礙下的安全設計	產業媒體	L1
C11-15	C11 建築工地與職人	工地的安全帽如果會回報位置	跨界類比	穿戴標籤	無感配戴的另一種載體	技術部落格	L2
C11-16	C11 建築工地與職人	一個工地同時有幾個工班	市場調查	多方協作	複雜場域的人員組成	產業媒體	L1
C11-17	C11 建築工地與職人	石化廠的巡檢防弊，怎麼做	市場調查	BLE 定位＋PDA 巡檢	代刷卡問題的技術解	產業媒體	L2
C12-01	C12 農林漁牧	牛羊的放牧追蹤，國外做到什麼程度	市場調查	GNSS 項圈｜虛擬圍籬	農業定位的國際實作	技術部落格	L1
C12-02	C12 農林漁牧	果園的農機具，一年少幾把	市場調查	BLE 標籤	農業資產的流失	產業媒體	L1
C12-03	C12 農林漁牧	溫室的溫溼度紀錄，誰在看	現象觀察	感測標籤	環境監測的基礎需求	產業媒體	L1
C12-04	C12 農林漁牧	漁船的定位回報，法規怎麼規定	市場調查	VMS 漁船監控	法規驅動的定位需求	技術部落格	L1
C12-05	C12 農林漁牧	養殖池的水溫異常，多久會被發現	現象觀察	溫度告警	異常偵測的通用價值	產業媒體	L1
