編號	群集	主題	對象	意圖	建議平台	收口層級	優先序
A1-16	A1 走失預防與協尋實務	夜間遊走與日落症候群：夜裡的防走失準備	照顧者	科普	部落格	L1	P3
A1-17	A1 走失預防與協尋實務	颱風、寒流、連假前的走失風險升高，該先做什麼	家屬	時事	Threads／FB	L1	P2
A1-18	A1 走失預防與協尋實務	帶長輩出國、返鄉、住院時的走失準備清單	家屬	場景	部落格	L1	P3
A1-19	A1 走失預防與協尋實務	找回來之後：家屬的自責與心理重建	家屬	情緒	Threads／Dcard	L0	P3
A1-20	A1 走失預防與協尋實務	做一張「長輩安全資訊卡」貼在冰箱上（可下載範本）	照顧者	工具	IG／部落格	L1	P1
A2-01	A2 補助政策與申請流程	長照 3.0 上路，跟一般家庭最有關的 5 件事	家屬	政策解讀	部落格	L0	P1
A2-02	A2 補助政策與申請流程	年輕型失智者納入長照給付：50 歲以下也能申請了	家屬／公共	政策	部落格／新聞投稿	L0	P2
A2-03	A2 補助政策與申請流程	打 1966 之後會發生什麼？逐步流程與時程	家屬	資訊	部落格／IG	L0	P1
A2-04	A2 補助政策與申請流程	照管專員到府評估，怎麼講才不會被低估需求	家屬	攻略	Dcard／FB	L0	P2
A2-05	A2 補助政策與申請流程	長照需要等級 2–8 級到底是什麼意思	家屬	科普	部落格	L0	P1
A2-06	A2 補助政策與申請流程	輔具補助 vs 長照給付：兩條完全不同的路	家屬	觀念澄清	部落格	L1	P1
A2-07	A2 補助政策與申請流程	身心障礙者輔具補助的「定位器」項目怎麼申請	家屬	攻略	部落格	L1	P2
A2-08	A2 補助政策與申請流程	失智診斷證明書怎麼拿？有效期多久？	家屬	資訊	部落格	L0	P3
A2-09	A2 補助政策與申請流程	各縣市加碼補助差在哪：同一台裝置價差可以多少	家屬	比較	部落格	L1	P2
A2-10	A2 補助政策與申請流程	「特約輔具單位」是什麼？為什麼一定要經過它	家屬	觀念	部落格	L1	P1
A2-11	A2 補助政策與申請流程	「限購置、非租賃」是什麼意思？影響你什麼	家屬	觀念	部落格	L1	P2
A2-12	A2 補助政策與申請流程	長照 3.0 新增的「居家智慧科技輔具租賃」怎麼用	家屬／機構	政策	部落格	L1	P1
A2-13	A2 補助政策與申請流程	衛福部長照輔具產品資料庫怎麼查（含安全看視類）	家屬	教學	部落格／影片	L2	P1
A2-14	A2 補助政策與申請流程	給付碼別怎麼看懂：EA/EI/EC 到底差在哪	家屬	科普	部落格	L1	P2
A2-15	A2 補助政策與申請流程	補助申請被退件的 6 個常見原因	家屬	避雷	FB／Dcard	L0	P2
A2-16	A2 補助政策與申請流程	從打電話到拿到輔具要多久？真實時程表	家屬	期待管理	部落格	L1	P2
A2-17	A2 補助政策與申請流程	自費 vs 補助的實際差額，用一張表算給你看	家屬	試算	部落格	L2	P1
A2-18	A2 補助政策與申請流程	喘息服務怎麼跟科技輔具一起搭配用	照顧者	組合	部落格	L1	P3
A2-19	A2 補助政策與申請流程	失智據點、共照中心、日照中心差在哪	家屬	科普	部落格	L0	P2
A2-20	A2 補助政策與申請流程	《失智症基本法》如果通過，對家屬的實際意義	公共	議題	Threads／投書	L0	P3
A3-01	A3 照顧者日常與家庭溝通	照顧者的 24 小時：那些沒人看見的時間	家屬／照顧者	共鳴	Threads／Dcard	L0	P2
A3-02	A3 照顧者日常與家庭溝通	「我只是去洗個澡」——十分鐘的空白怎麼補	家屬	故事	Threads	L1	P1
A3-03	A3 照顧者日常與家庭溝通	家庭照顧的「交接本」怎麼寫	照顧者	工具	部落格	L1	P3
A3-04	A3 照顧者日常與家庭溝通	兄弟姊妹怎麼分工才不會吵架（含分工表範本）	家屬	工具	Dcard／FB	L0	P2
A3-05	A3 照顧者日常與家庭溝通	外籍看護與科技工具的磨合期	家屬	現實	FB 社團	L1	P3
A3-06	A3 照顧者日常與家庭溝通	長輩拒絕配戴裝置，這 5 句話可以試試	家屬	話術	Threads／IG	L1	P1
A3-07	A3 照顧者日常與家庭溝通	被長輩說「你在監視我」的時候，我是怎麼回的	家屬	故事	Dcard	L1	P2
A3-08	A3 照顧者日常與家庭溝通	尊嚴與安全的拉鋸：要不要限制他出門	公共	議題	Threads	L0	P2
A3-09	A3 照顧者日常與家庭溝通	照顧者的睡眠剝奪有多嚴重	家屬	科普	部落格	L0	P3
A3-10	A3 照顧者日常與家庭溝通	照顧者的罪惡感從哪來，又該怎麼放下	家屬	情緒	Dcard	L0	P3
A3-11	A3 照顧者日常與家庭溝通	第一次開家庭會議：議程與該問的 8 個問題	家屬	工具	部落格	L0	P3
A3-12	A3 照顧者日常與家庭溝通	照顧的財務規劃：一年要準備多少	家屬	試算	部落格	L1	P3
A3-13	A3 照顧者日常與家庭溝通	請假、留職停薪、友善照顧職場，能用的制度有哪些	家屬	資訊	部落格	L0	P3
A3-14	A3 照顧者日常與家庭溝通	互助喘息：照顧者輪流照顧的實際做法	照顧者	政策應用	部落格	L0	P3
A3-15	A3 照顧者日常與家庭溝通	每次看到長照悲歌新聞，我們真正該討論的是什麼	公共	議題	Threads／投書	L0	P2
A3-16	A3 照顧者日常與家庭溝通	第一次把媽媽送去日照的那一天	家屬	故事	Dcard／Threads	L0	P2
A3-17	A3 照顧者日常與家庭溝通	從「看著」到「守著」：照顧觀念的轉換	家屬	觀念	部落格	L1	P3
A3-18	A3 照顧者日常與家庭溝通	照顧不是一個人的事：科技能補的，其實只有一塊	家屬	觀念	Threads	L1	P2
A3-19	A3 照顧者日常與家庭溝通	照顧者壓力自我檢測（10 題）	家屬	互動	IG／部落格	L0	P3
A3-20	A3 照顧者日常與家庭溝通	給新手照顧者的 30 天上手表	家屬	工具	部落格	L1	P2
A4-01	A4 定位輔具選購與比較	長輩定位裝置四大類：手錶、吊牌、鞋墊、手機 App	家屬／3C	品類教育	部落格／Mobile01	L1	P1
A4-02	A4 定位輔具選購與比較	GPS、藍牙、Wi-Fi、基地台定位，到底差在哪	3C	科普	Mobile01	L1	P2
A4-03	A4 定位輔具選購與比較	「即時追蹤」與「最後被偵測到的位置」的差別	家屬／3C	誠實科普	部落格／Dcard	L2	P1
A4-04	A4 定位輔具選購與比較	續航實戰：每天充 vs 一年不用充，差的是什麼	家屬	比較	Mobile01	L2	P1
A4-05	A4 定位輔具選購與比較	3 年總花費試算：月租費會吃掉你多少錢	家屬	試算	部落格	L2	P1
A4-06	A4 定位輔具選購與比較	配戴接受度排序：長輩最不排斥的其實是這個	家屬	洞察	Dcard	L2	P1
A4-07	A4 定位輔具選購與比較	為什麼所有定位裝置「進到室內就會飄」	3C	科普	Mobile01	L1	P2
A4-08	A4 定位輔具選購與比較	電子圍籬怎麼設才不會一天響二十次	家屬	教學	部落格	L2	P2
A4-09	A4 定位輔具選購與比較	SOS 按鈕真的會被按嗎？失智長輩的現實	家屬	反思	Dcard	L1	P3
A4-10	A4 定位輔具選購與比較	防水等級 IPX 怎麼看：洗澡、淋雨、下水差很多	3C	科普	Mobile01	L1	P3
A4-11	A4 定位輔具選購與比較	鞋墊可以剪嗎？尺寸怎麼挑（22–28cm 實測）	家屬	實用	部落格／影片	L3	P2
A4-12	A4 定位輔具選購與比較	裝置壞掉、弄丟怎麼辦？保固與換新條款要看哪幾行	家屬	避雷	部落格	L2	P2
A4-13	A4 定位輔具選購與比較	買之前一定要問廠商的 10 個問題（可截圖收藏）	家屬	工具	IG／Threads	L2	P1
A4-14	A4 定位輔具選購與比較	網購定位器的 5 個地雷（低價款為什麼不能買）	家屬	避雷	Dcard	L1	P2
A4-15	A4 定位輔具選購與比較	二手、水貨定位器的風險	家屬	避雷	Mobile01	L1	P3
A4-16	A4 定位輔具選購與比較	NCC 型式認證是什麼？怎麼自己查得到	3C	科普	部落格	L2	P1
A4-17	A4 定位輔具選購與比較	App 有沒有做資安檢測，為什麼你該在意	3C／公共	議題	Mobile01	L2	P2
A4-18	A4 定位輔具選購與比較	一個家庭同時用兩種裝置，怎麼搭最省	家屬	組合	部落格	L2	P3
A4-19	A4 定位輔具選購與比較	輕度／中度／重度失智，對應不同的裝置選擇	家屬	決策	部落格	L2	P1
A4-20	A4 定位輔具選購與比較	定位裝置選購決策表（一頁 PDF 可下載）	家屬	工具	部落格／IG	L2	P1
A5-01	A5 長照機構與日照導入	機構最怕的不是走失，是「說不清楚」	機構	痛點	LinkedIn／產業媒體	L1	P1
A5-02	A5 長照機構與日照導入	住民離區提醒怎麼設計才不會擾民	機構	方法	產業媒體	L2	P2
A5-03	A5 長照機構與日照導入	交班紀錄的空白，科技能補哪一段	機構	方法	LinkedIn	L2	P2
A5-04	A5 長照機構與日照導入	出入口、電梯口的佈點邏輯（為什麼不是裝越多越好）	機構	專業	產業媒體	L2	P2
A5-05	A5 長照機構與日照導入	日照中心接送的空窗期風險	機構	場景	FB 社團	L1	P1
A5-06	A5 長照機構與日照導入	評鑑會問的那幾題，跟紀錄可追溯有什麼關係	機構	攻略	產業媒體	L2	P1
A5-07	A5 長照機構與日照導入	機構導入科技的 ROI 怎麼算（含試算表）	機構	試算	LinkedIn	L2	P1
A5-08	A5 長照機構與日照導入	人力不足下的科技補位：不取代 SOP，補的是空白	機構	觀念	產業媒體	L2	P2
A5-09	A5 長照機構與日照導入	家屬的信任感，其實是靠「查得到」建立的	機構	觀念	LinkedIn	L2	P1
A5-10	A5 長照機構與日照導入	住民定位的同意書與隱私告知該怎麼寫	機構／公共	合規	產業媒體	L2	P2
A5-11	A5 長照機構與日照導入	團體家屋 vs 住宿機構：需求差在哪	機構	分眾	產業媒體	L1	P3
A5-12	A5 長照機構與日照導入	偏鄉機構的網路條件，能導入什麼	機構	現實	產業媒體	L2	P3
A5-13	A5 長照機構與日照導入	小型機構先從一層樓開始的可行性	機構	導入法	LinkedIn	L3	P2
A5-14	A5 長照機構與日照導入	智慧照顧科技的獎勵與補助怎麼申請	機構	政策	產業媒體	L1	P1
A5-15	A5 長照機構與日照導入	照服員不想多學一套系統，怎麼設計才不被排斥	機構	現場	FB 社團	L2	P2
A5-16	A5 長照機構與日照導入	夜班人力與異常告警的搭配設計	機構	方法	產業媒體	L2	P2
A5-17	A5 長照機構與日照導入	走失事件後的內部檢討會怎麼開	機構	工具	LinkedIn	L1	P2
A5-18	A5 長照機構與日照導入	機構科技採購的 5 個常見誤區	機構	避雷	產業媒體	L2	P2
A5-19	A5 長照機構與日照導入	從場勘到驗收的實際時間表	機構	期待管理	LinkedIn	L3	P2
A5-20	A5 長照機構與日照導入	導入前的 10 題自我檢查表	機構	工具	產業媒體	L3	P1
A5-21	A5 長照機構與日照導入	裝了定位之後，我們終於敢開放花園	機構	敘事翻轉	產業媒體／LinkedIn	L1	P1
A5-22	A5 長照機構與日照導入	請假外出的那一段，誰在看著	機構	缺口揭露	產業媒體	L1	P1
A5-23	A5 長照機構與日照導入	「多久才發現」與「發現後多久處置」：兩個決定責任的時間	機構	風險	產業媒體	L1	P1
A5-24	A5 長照機構與日照導入	尋人現況：調監視器＋地毯式搜查要花多久	機構／公共	對照組	Threads／產業媒體	L0	P1
A5-25	A5 長照機構與日照導入	住民不肯戴，是機構導入定位最大的障礙（第三方研究怎麼說）	機構	第三方佐證	產業媒體	L1	P1
A5-26	A5 長照機構與日照導入	Beacon 放一顆不夠：交誼廳跳點的實務教訓	機構／3C	技術誠實	技術部落格	L2	P2
A5-27	A5 長照機構與日照導入	機構導入前的網路與電力盤點清單	機構	工具	LinkedIn	L2	P1
A5-28	A5 長照機構與日照導入	PoC 該怎麼訂驗收指標（誤報率、遺漏率、維護難易度）	機構	方法	產業媒體	L2	P1
A5-29	A5 長照機構與日照導入	員工手機也能當接收器：零硬體成本的外出活動方案	機構	低門檻入門	產業媒體	L2	P1
A5-30	A5 長照機構與日照導入	帶失智長輩去看展覽，我們是怎麼做到的	機構	故事	Threads／產業媒體	L1	P1
A6-01	A6 工廠工安與人員資產定位	「找不到料車」一年吃掉你多少工時（附計算公式）	工廠	試算	LinkedIn／產業媒體	L1	P1
A6-02	A6 工廠工安與人員資產定位	消防演練點名要多久？定位導入後的實際差異	工廠	場景	產業媒體	L2	P1
A6-03	A6 工廠工安與人員資產定位	承攬商與訪客管理：進來了，然後呢	工廠	合規	LinkedIn	L2	P1
A6-04	A6 工廠工安與人員資產定位	單獨作業與「久未移動」告警的設計	工廠	方法	產業媒體	L2	P2
A6-05	A6 工廠工安與人員資產定位	高風險區域進入通知，門檻該設多嚴	工廠	方法	LinkedIn	L2	P3
A6-06	A6 工廠工安與人員資產定位	人員定位 ≠ 監控：導入阻力最大的那一關	工廠／公共	觀念	LinkedIn／Dcard	L1	P1
A6-07	A6 工廠工安與人員資產定位	用「去識別化群體統計」導入，阻力會小很多	工廠	方法	產業媒體	L2	P2
A6-08	A6 工廠工安與人員資產定位	職安相關紀錄留存，定位資料算不算證據	工廠	合規	產業媒體	L1	P2
A6-09	A6 工廠工安與人員資產定位	金屬環境、貨架、隔間對訊號的實際影響	工廠／3C	技術	Mobile01／產業媒體	L2	P2
A6-10	A6 工廠工安與人員資產定位	Wi-Fi／BLE／UWB／RFID 在工廠怎麼選（一張表）	工廠／3C	選型	LinkedIn	L2	P1
A6-11	A6 工廠工安與人員資產定位	為什麼建議「先做一個區域」再擴大	工廠	導入法	LinkedIn	L3	P2
A6-12	A6 工廠工安與人員資產定位	定位資料怎麼餵進 MES／ERP／SCADA	工廠	整合	技術部落格	L2	P2
A6-13	A6 工廠工安與人員資產定位	堆高機與行人動線衝突的防撞設計	工廠	場景	產業媒體	L1	P3
A6-14	A6 工廠工安與人員資產定位	熱像預知保養：配電盤過熱在停機前就被抓到	工廠	場景	LinkedIn	L3	P2
A6-15	A6 工廠工安與人員資產定位	能耗、環境與人員一起看的戰情中心	工廠	願景	產業媒體	L3	P3
A6-16	A6 工廠工安與人員資產定位	標籤要貼在哪裡才讀得到（金屬面的坑）	工廠	實務	技術部落格	L2	P2
A6-17	A6 工廠工安與人員資產定位	標籤電池與維運成本：三年總成本怎麼估	工廠	試算	LinkedIn	L2	P2
A6-18	A6 工廠工安與人員資產定位	定位資料能不能拿來當績效考核？（倫理紅線）	工廠／公共	議題	LinkedIn／Dcard	L0	P2
A6-19	A6 工廠工安與人員資產定位	廠區擴建、產線調整時，系統擴充性要怎麼看	工廠	選型	產業媒體	L2	P3
A6-20	A6 工廠工安與人員資產定位	場勘要準備哪 6 樣東西（平面圖、網路、遮蔽…）	工廠	工具	LinkedIn	L3	P1
A6-21	A6 工廠工安與人員資產定位	移動中定位：車載與員工手機作為接收器的取捨	工廠／機構	技術選型	技術部落格	L2	P1
A6-22	A6 工廠工安與人員資產定位	看得到車，看不到人：長照接送的那個缺口	機構／公共	產業洞察	產業媒體	L1	P1
A6-23	A6 工廠工安與人員資產定位	司機來不及按 APP，補助就飛了	機構	具體痛點	產業媒體	L1	P1
A6-24	A6 工廠工安與人員資產定位	上下車自動紀錄：從校車考勤學來的一件事	機構	跨產業類比	產業媒體	L2	P1
A6-25	A6 工廠工安與人員資產定位	車載閘道器的三個老問題（供電、耐震、網路）現在怎麼解	工廠／物流	技術誠實	技術部落格	L2	P1
A6-26	A6 工廠工安與人員資產定位	斷網了怎麼辦：隧道與偏遠路段的資料快取	物流／3C	技術科普	技術部落格	L2	P2
A6-27	A6 工廠工安與人員資產定位	金屬車廂會擋住訊號嗎？	物流／3C	技術疑問	Mobile01	L2	P2
A7-01	A7 物流倉儲與冷鏈	籠車去哪了：周轉具流失一年的真實金額	物流	試算	LinkedIn／物流媒體	L1	P1
A7-02	A7 物流倉儲與冷鏈	棧板一直重買，其實是「找不到」不是「不見」	物流	洞察	物流媒體	L1	P1
A7-03	A7 物流倉儲與冷鏈	滯留時間數據該怎麼用才有價值	物流	方法	LinkedIn	L2	P2
A7-04	A7 物流倉儲與冷鏈	盤點從三小時到二十分鐘，中間換掉了什麼	物流	場景	物流媒體	L2	P1
A7-05	A7 物流倉儲與冷鏈	冷鏈失溫一次的賠償與拒收成本	物流	試算	物流媒體	L1	P1
A7-06	A7 物流倉儲與冷鏈	客戶說失溫，你拿得出紀錄嗎	物流	痛點	LinkedIn	L2	P1
A7-07	A7 物流倉儲與冷鏈	位置與溫度放在同一條時間軸，差別在哪	物流	方法	物流媒體	L3	P2
A7-08	A7 物流倉儲與冷鏈	藥品 GDP 對運輸溫控的要求，白話版	物流／醫院	法規	部落格	L1	P1
A7-09	A7 物流倉儲與冷鏈	疫苗 2–8°C：data logger、高低溫度計與每日兩次查核	醫院／物流	法規	部落格	L1	P2
A7-10	A7 物流倉儲與冷鏈	保冷箱確效 IQ/OQ/PQ 是什麼，為什麼稽核一定問	物流	法規	物流媒體	L1	P2
A7-11	A7 物流倉儲與冷鏈	在途追蹤：車載接收器的取捨（供電、耐震、網路）	物流	技術	物流媒體	L2	P1
A7-12	A7 物流倉儲與冷鏈	傳統 GPS 追蹤器 vs 標籤＋閘道：成本結構拆解	物流／3C	比較	LinkedIn／Mobile01	L2	P1
A7-13	A7 物流倉儲與冷鏈	最後一哩與場站交接的資料斷點	物流	洞察	物流媒體	L2	P2
A7-14	A7 物流倉儲與冷鏈	離島與偏遠配送的溫控風險與應對	物流	場景	物流媒體	L1	P3
A7-15	A7 物流倉儲與冷鏈	夏天與冬天的包裝差異：預冷時間的坑	物流	實務	物流媒體	L1	P3
A7-16	A7 物流倉儲與冷鏈	司機不想多做一個動作，系統就該做到零操作	物流	觀念	LinkedIn	L2	P1
A7-17	A7 物流倉儲與冷鏈	客戶稽核會要哪些文件（清單版）	物流	工具	物流媒體	L1	P2
A7-18	A7 物流倉儲與冷鏈	逆物流與周轉具回收率怎麼提升	物流	方法	物流媒體	L2	P3
A7-19	A7 物流倉儲與冷鏈	多溫層共配的溫度舉證難題	物流	場景	物流媒體	L2	P3
A7-20	A7 物流倉儲與冷鏈	物流導入的分階段路線圖（場站先跑，在途後跟）	物流	導入法	LinkedIn	L3	P2
A7-21	A7 物流倉儲與冷鏈	同一顆標籤，在冷鏈車上與在接送車上	物流／機構	跨場域延伸	產業媒體	L2	P2
A8-01	A8 醫院設備與病患安全	找輸液幫浦，是護理師的隱形工時	醫院	痛點	醫護社群	L1	P1
A8-02	A8 醫院設備與病患安全	輪椅與生理監視器的「共用池」為什麼永遠不夠	醫院	洞察	醫護社群	L1	P2
A8-03	A8 醫院設備與病患安全	設備使用率分析，能省下多少採購	醫院	試算	醫管媒體	L2	P1
A8-04	A8 醫院設備與病患安全	病患離區預警：接近出口先預警、跨越即通報	醫院	方法	醫管媒體	L2	P2
A8-05	A8 醫院設備與病患安全	失智病房與精神科病房的圍籬設計差異	醫院	分眾	醫管媒體	L2	P3
A8-06	A8 醫院設備與病患安全	急診走廊上的病床，醫師怎麼第一時間找到人	醫院	場景	醫護社群	L1	P2
A8-07	A8 醫院設備與病患安全	健檢中心的「叫不到人」問題	醫院	場景	醫管媒體	L2	P3
A8-08	A8 醫院設備與病患安全	血品與檢體的溫度追溯，斷在哪一段	醫院	痛點	醫管媒體	L2	P2
A8-09	A8 醫院設備與病患安全	疫苗冰箱半夜跳溫，誰會知道	醫院	場景	醫管媒體	L2	P1
A8-10	A8 醫院設備與病患安全	從藥局到病房：院內物流的全程追溯	醫院	方法	醫管媒體	L2	P2
A8-11	A8 醫院設備與病患安全	救護車上的行動感測：院外那一段	醫院	延伸	醫管媒體	L2	P3
A8-12	A8 醫院設備與病患安全	感染管制下的設備追蹤與清消紀錄	醫院	場景	醫護社群	L1	P2
A8-13	A8 醫院設備與病患安全	告警要推播到護理站還是警衛平板？分流設計	醫院	方法	醫管媒體	L2	P3
A8-14	A8 醫院設備與病患安全	醫院評鑑與事件回溯：歷程留痕的價值	醫院	合規	醫管媒體	L2	P1
A8-15	A8 醫院設備與病患安全	院內定位的隱私界線：病患、家屬、員工三種尺度	醫院／公共	議題	醫管媒體	L1	P2
A8-16	A8 醫院設備與病患安全	醫工室的保養排程能不能自動化	醫院	方法	醫管媒體	L2	P3
A8-17	A8 醫院設備與病患安全	跨院區設備調度的可能性	醫院	願景	醫管媒體	L2	P3
A8-18	A8 醫院設備與病患安全	為什麼醫院導入一定要先場勘與 PoC	醫院	誠實說明	醫管媒體	L3	P1
A8-19	A8 醫院設備與病患安全	醫院無線環境的干擾與醫材共存問題	醫院／3C	技術	技術部落格	L2	P2
A8-20	A8 醫院設備與病患安全	從一個科別開始的試點設計	醫院	導入法	醫管媒體	L3	P2
A9-01	A9 定位技術科普與選型	什麼是 BLE 群眾網路定位？（跟 AirTag 像在哪、不像在哪）	3C	科普	Mobile01／Threads	L2	P1
A9-02	A9 定位技術科普與選型	為什麼定位標籤可以不用 SIM 卡也不用上網	3C	科普	Mobile01	L1	P1
A9-03	A9 定位技術科普與選型	藍牙訊號到底能傳多遠（室內 vs 空曠的實際差距）	3C	科普	Mobile01	L1	P2
A9-04	A9 定位技術科普與選型	RSSI 訊號強度換算距離，誤差為什麼這麼大	3C	技術	技術部落格	L1	P3
A9-05	A9 定位技術科普與選型	三角定位 vs 區域判讀：多數場景其實不需要公分級	3C／工廠	選型	LinkedIn	L2	P1
A9-06	A9 定位技術科普與選型	UWB 為什麼能做到 10–30 公分	3C	科普	Mobile01	L1	P2
A9-07	A9 定位技術科普與選型	Wi-Fi 定位沿用既有 AP 的 CP 值	工廠／3C	選型	技術部落格	L1	P2
A9-08	A9 定位技術科普與選型	LoRa 適合什麼場景、不適合什麼場景	3C	選型	技術部落格	L1	P3
A9-09	A9 定位技術科普與選型	「地板下感測網格」是什麼概念（3m×3m 的想像）	工廠／3C	前瞻	Mobile01	L3	P3
A9-10	A9 定位技術科普與選型	電子圍籬的觸發邏輯：進入、離開、久未移動	3C	科普	技術部落格	L2	P2
A9-11	A9 定位技術科普與選型	群眾網路的密度決定一切：人多的地方才準	3C	誠實科普	Mobile01／Dcard	L2	P1
A9-12	A9 定位技術科普與選型	匿名回傳怎麼做到「幫你定位但不知道你是誰」	3C／公共	技術＋信任	Mobile01	L2	P1
A9-13	A9 定位技術科普與選型	去識別化與加密，在定位系統裡實際長什麼樣	3C／公共	技術	技術部落格	L2	P2
A9-14	A9 定位技術科普與選型	電池能撐一年的原理：廣播間隔與功耗的取捨	3C	技術	Mobile01	L2	P1
A9-15	A9 定位技術科普與選型	溫度感測怎麼塞進一顆鈕扣電池的標籤裡	3C	技術	Mobile01	L2	P3
A9-16	A9 定位技術科普與選型	邊緣判斷 vs 雲端判斷：告警該在哪裡算	3C／工廠	架構	技術部落格	L2	P3
A9-17	A9 定位技術科普與選型	API 與 Webhook：定位資料怎麼被別的系統用	3C／工廠	整合	技術部落格	L2	P2
A9-18	A9 定位技術科普與選型	定位系統的誤報率，怎麼調到「可以忍受」	工廠／機構	實務	技術部落格	L2	P1
A9-19	A9 定位技術科普與選型	室內外無縫切換為什麼這麼難	3C	技術	Mobile01	L2	P2
A9-20	A9 定位技術科普與選型	定位技術 20 個專有名詞的白話翻譯	3C	工具	部落格	L1	P2
A9-21	A9 定位技術科普與選型	移動接收器 vs 固定基礎建設：什麼時候該用哪一種	3C／工廠	選型科普	技術部落格	L2	P1
A10-01	A10 隱私倫理與社會議題	定位是保護還是監控？這條線畫在哪	公共	辯論	Threads／Dcard	L0	P2
A10-02	A10 隱私倫理與社會議題	誰有權決定一位失智長輩要不要被定位	公共	倫理	投書／Threads	L0	P2
A10-03	A10 隱私倫理與社會議題	知情同意與法定代理人：實務上怎麼做	公共／機構	合規	部落格	L1	P1
A10-04	A10 隱私倫理與社會議題	員工定位的勞資界線在哪裡	公共／工廠	議題	Dcard／LinkedIn	L0	P2
A10-05	A10 隱私倫理與社會議題	幫小孩裝定位：保護與信任的分寸	公共	議題	Threads	L0	P3
A10-06	A10 隱私倫理與社會議題	AirTag 被用來跟蹤：國際案例與各家的反制設計	3C／公共	時事＋技術	Mobile01／Threads	L1	P2
A10-07	A10 隱私倫理與社會議題	你的定位資料誰能查、留多久、誰在稽核	公共	議題	部落格	L2	P2
A10-08	A10 隱私倫理與社會議題	資料外洩會長什麼樣：三個想像場景	公共	議題	Threads	L1	P3
A10-09	A10 隱私倫理與社會議題	去識別化的極限：真的匿名得了嗎	公共／3C	深度	技術部落格	L1	P3
A10-10	A10 隱私倫理與社會議題	停用之後，我的位置紀錄會被刪掉嗎	公共	議題	部落格	L2	P2
A10-11	A10 隱私倫理與社會議題	群眾網路：我的手機正在幫誰定位？	3C／公共	反差題	Threads／Mobile01	L2	P1
A10-12	A10 隱私倫理與社會議題	科技會不會讓照顧責任被轉嫁	公共	反思	投書	L0	P3
A10-13	A10 隱私倫理與社會議題	行動自由與「風險的尊嚴」（dignity of risk）	公共	深度	投書／部落格	L0	P2
A10-14	A10 隱私倫理與社會議題	走失事故的責任歸屬與保險	機構／公共	實務	部落格	L1	P1
A10-15	A10 隱私倫理與社會議題	科技輔具補助的公平性：誰申請得到、誰申請不到	公共	議題	投書	L0	P2
A10-16	A10 隱私倫理與社會議題	失智友善社區與科技：人與機器怎麼分工	公共	願景	投書／Threads	L1	P3
A10-17	A10 隱私倫理與社會議題	超高齡社會的照顧人力缺口，用數字看	公共	數據	部落格／圖卡	L0	P2
A10-18	A10 隱私倫理與社會議題	國際比較：日本、荷蘭做法	公共	視野	部落格	L0	P3
A10-19	A10 隱私倫理與社會議題	如果《失智症基本法》納入隱私條款，會怎麼寫	公共	前瞻	投書	L0	P3
A10-20	A10 隱私倫理與社會議題	十年後的照顧樣貌	公共	願景	Threads／影片	L1	P3
A11-01	A11 通路與經銷商	長照輔具這門生意，2026 年好不好做	通路	市場判斷	LinkedIn／產業媒體	L0	P1
A11-02	A11 通路與經銷商	代理一個智慧輔具，要準備什麼	通路	決策	產業媒體	L1	P1
A11-03	A11 通路與經銷商	「特約輔具單位」是什麼？怎麼成為	通路	資格	部落格	L0	P1
